Product Name,Price,Rating,Number of Ratings,Number of Reviews,Review Summary,Review Details
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Classy product,"First Impression: Great build no wobble, full fledged 70 watt RTX2050 gives nearly 3050 75w level performance. 16gb DDR5 ram. 7535HS is good. Only cons are: SSD maxes out at 3500/2000mb/s, though upgradation to a gen4 2280 SSD is possible. And no Ms office. Will update more with time"
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Worth the money,Overall the product is really nice. Lenovo has included some tweaking features. The only problem that I felt is with the hinge. The laptop screen wobble sometimes.
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Horrible,Lenovo worst company I purchased this laptop and from 2nd day trackpad started auto clicking and lagging I will never forgive lenovo for breaking my dream of purchasing first good laptop
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Best in the market!,great build and performance  of every segment rtx 2050 works  smoothly with tgp of 70w and ddr5 16gb ram just on top
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Super!,Bought it at 53k at sale. 16gb DDR5 Ram (dual channel)Rtx 2050 (full 70 watt tgp) will match 75 watt 3050 as processor is also goodBattery is a let down though but I don't expect it to be that good...
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Simply awesome,Good product and svperipherals  seller has given right product
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Simply awesome,"It's performance is really good , but disappointed by screen and battery backup rest overall with price it's a good choice."
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics...,"₹56,990",4.3,68,8,Excellent,Awesome product and performs well to my expectation at this price point. only the battery does not last long as expected.Of late Flipkart deliveries are not on time.
Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 5500H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/N...,"₹47,990",3.7,7,1,"Battery issue, rest is good","First Impression: Great build no wobble, full fledged 70 watt RTX2050 gives nearly 3050 75w level performance. 16gb DDR5 ram. 7535HS is good. Only cons are: SSD maxes out at 3500/2000mb/s, though upgradation to a gen4 2280 SSD is possible. And no Ms office. Will update more with time"
Lenovo Legion 5 AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹99,990",4.6,7,5,Good Value for the Price,Overall the product is really nice. Lenovo has included some tweaking features. The only problem that I felt is with the hinge. The laptop screen wobble sometimes.
Lenovo Legion 5 AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹99,990",4.6,7,5,Reliable Performance,Lenovo worst company I purchased this laptop and from 2nd day trackpad started auto clicking and lagging I will never forgive lenovo for breaking my dream of purchasing first good laptop
Lenovo Legion 5 AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹99,990",4.6,7,5,Impressive Battery Life,great build and performance  of every segment rtx 2050 works  smoothly with tgp of 70w and ddr5 16gb ram just on top
Lenovo Legion 5 AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹99,990",4.6,7,5,Sleek and Portable,Bought it at 53k at sale. 16gb DDR5 Ram (dual channel)Rtx 2050 (full 70 watt tgp) will match 75 watt 3050 as processor is also goodBattery is a let down though but I don't expect it to be that good...
Lenovo Legion 5 AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,"₹99,990",4.6,7,5,Lacks High-End Features,Good product and svperipherals  seller has given right product
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 6800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,"₹1,24,990",4.3,25,1,Good choice,"It's performance is really good , but disappointed by screen and battery backup rest overall with price it's a good choice."
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,"₹1,19,990",4.7,3,8,Sluggish and Unresponsive,Awesome product and performs well to my expectation at this price point. only the battery does not last long as expected.Of late Flipkart deliveries are not on time.
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,"₹1,19,990",4.7,3,8,Poor Screen Quality,"First Impression: Great build no wobble, full fledged 70 watt RTX2050 gives nearly 3050 75w level performance. 16gb DDR5 ram. 7535HS is good. Only cons are: SSD maxes out at 3500/2000mb/s, though upgradation to a gen4 2280 SSD is possible. And no Ms office. Will update more with time"
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,"₹1,19,990",4.7,3,8,Constant Overheating,Overall the product is really nice. Lenovo has included some tweaking features. The only problem that I felt is with the hinge. The laptop screen wobble sometimes.
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,"₹1,19,990",4.7,3,8,Cheap Build Quality,Lenovo worst company I purchased this laptop and from 2nd day trackpad started auto clicking and lagging I will never forgive lenovo for breaking my dream of purchasing first good laptop
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,"₹1,19,990",4.7,3,8,Terrible Customer Service,great build and performance  of every segment rtx 2050 works  smoothly with tgp of 70w and ddr5 16gb ram just on top
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,"₹1,19,990",4.7,3,8,Battery Drains Quickly,Bought it at 53k at sale. 16gb DDR5 Ram (dual channel)Rtx 2050 (full 70 watt tgp) will match 75 watt 3050 as processor is also goodBattery is a let down though but I don't expect it to be that good...
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,"₹1,19,990",4.7,3,8,Decent for Basic Tasks,Good product and svperipherals  seller has given right product
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (32 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA...,"₹1,19,990",4.7,3,8,Affordable Entry-Level Option,"It's performance is really good , but disappointed by screen and battery backup rest overall with price it's a good choice."
Lenovo Legion 5 AMD AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVID...,"₹98,990",4.4,88,18,Good quality product,Awesome product and performs well to my expectation at this price point. only the battery does not last long as expected.Of late Flipkart deliveries are not on time.
Lenovo Legion 5 AMD AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVID...,"₹98,990",4.4,88,18,Highly recommended,"First Impression: Great build no wobble, full fledged 70 watt RTX2050 gives nearly 3050 75w level performance. 16gb DDR5 ram. 7535HS is good. Only cons are: SSD maxes out at 3500/2000mb/s, though upgradation to a gen4 2280 SSD is possible. And no Ms office. Will update more with time"
Lenovo Legion 5 AMD AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVID...,"₹98,990",4.4,88,18,Worth every penny,Overall the product is really nice. Lenovo has included some tweaking features. The only problem that I felt is with the hinge. The laptop screen wobble sometimes.
Lenovo Legion 5 AMD AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVID...,"₹98,990",4.4,88,18,Classy product,Lenovo worst company I purchased this laptop and from 2nd day trackpad started auto clicking and lagging I will never forgive lenovo for breaking my dream of purchasing first good laptop
Lenovo Legion 5 AMD AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVID...,"₹98,990",4.4,88,18,Very poor,great build and performance  of every segment rtx 2050 works  smoothly with tgp of 70w and ddr5 16gb ram just on top
Lenovo Legion 5 AMD AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVID...,"₹98,990",4.4,88,18,Good choice,Bought it at 53k at sale. 16gb DDR5 Ram (dual channel)Rtx 2050 (full 70 watt tgp) will match 75 watt 3050 as processor is also goodBattery is a let down though but I don't expect it to be that good...
Lenovo Legion 5 AMD AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVID...,"₹98,990",4.4,88,18,Wonderful,Good product and svperipherals  seller has given right product
Lenovo Legion 5 AMD AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVID...,"₹98,990",4.4,88,18,Must buy!,"It's performance is really good , but disappointed by screen and battery backup rest overall with price it's a good choice."
Lenovo Legion 5 AMD AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVID...,"₹98,990",4.4,88,18,Delightful,Awesome product and performs well to my expectation at this price point. only the battery does not last long as expected.Of late Flipkart deliveries are not on time.
Lenovo Legion 5 AMD AMD Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVID...,"₹98,990",4.4,88,18,Really Nice,"First Impression: Great build no wobble, full fledged 70 watt RTX2050 gives nearly 3050 75w level performance. 16gb DDR5 ram. 7535HS is good. Only cons are: SSD maxes out at 3500/2000mb/s, though upgradation to a gen4 2280 SSD is possible. And no Ms office. Will update more with time"
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,"₹1,04,990",4.5,56,7,Absolute rubbish!,Overall the product is really nice. Lenovo has included some tweaking features. The only problem that I felt is with the hinge. The laptop screen wobble sometimes.
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,"₹1,04,990",4.5,56,7,Mind-blowing purchase,Lenovo worst company I purchased this laptop and from 2nd day trackpad started auto clicking and lagging I will never forgive lenovo for breaking my dream of purchasing first good laptop
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,"₹1,04,990",4.5,56,7,Wonderful,great build and performance  of every segment rtx 2050 works  smoothly with tgp of 70w and ddr5 16gb ram just on top
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,"₹1,04,990",4.5,56,7,Did not meet expectations,Bought it at 53k at sale. 16gb DDR5 Ram (dual channel)Rtx 2050 (full 70 watt tgp) will match 75 watt 3050 as processor is also goodBattery is a let down though but I don't expect it to be that good...
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,"₹1,04,990",4.5,56,7,Delightful,Good product and svperipherals  seller has given right product
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,"₹1,04,990",4.5,56,7,Awesome,"It's performance is really good , but disappointed by screen and battery backup rest overall with price it's a good choice."
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,"₹1,04,990",4.5,56,7,Worth the money,Awesome product and performs well to my expectation at this price point. only the battery does not last long as expected.Of late Flipkart deliveries are not on time.
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 6800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,"₹1,09,990",4.1,25,3,Wonderful,"First Impression: Great build no wobble, full fledged 70 watt RTX2050 gives nearly 3050 75w level performance. 16gb DDR5 ram. 7535HS is good. Only cons are: SSD maxes out at 3500/2000mb/s, though upgradation to a gen4 2280 SSD is possible. And no Ms office. Will update more with time"
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 6800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,"₹1,09,990",4.1,25,3,Highly recommended,Overall the product is really nice. Lenovo has included some tweaking features. The only problem that I felt is with the hinge. The laptop screen wobble sometimes.
Lenovo Legion 5 Pro AMD Ryzen 7 Octa Core 6800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,"₹1,09,990",4.1,25,3,Must buy!,Lenovo worst company I purchased this laptop and from 2nd day trackpad started auto clicking and lagging I will never forgive lenovo for breaking my dream of purchasing first good laptop
